"V2025A","V2049A","V2124","V2126B","V3020","V3032","VS0005","VS0007","VS0017","VS0022","VS0023","VS0025","VS0034","VS0038","VS0039","VS0046","VS0047","VS0048","VS0049","VS0050","VS0051","VS0052","VS0053","VS0054","VS0055","VS0146","VS0147","VS0148","VS0151","VS0057","VS0152","VS0153","VS0154","VS0155","VS0069","VS0070","VS0112","VS0138","o_bullied"
2,1,2,0,6,7,1,1,3,7,12,1,2,2,1,3,3,2,1,1,2,2,1,1,4,2,1,2,2,1,1,1,1,1,2,2,2,2,"0"
2,1,2,0,8,2,1,1,5,9,12,2,2,3,1,2,2,2,2,2,2,3,1,1,3,2,2,2,2,1,1,1,2,2,2,2,2,2,"0"
2,1,1,13,6,2,2,0,2,6,8,2,2,2,1,3,2,2,2,2,2,2,2,2,3,1,1,1,1,1,2,2,1,1,2,2,1,3,"1"
2,1,2,13,9,5,2,0,3,8,9,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,1,1,1,1,1,2,2,2,2,"0"
2,1,2,16,7,13,2,0,3,0,8,1,1,2,1,1,2,1,1,2,2,2,1,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,"0"
2,1,2,18,11,3,1,1,7,9,12,1,2,2,2,2,3,2,2,2,2,2,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,"0"
2,1,2,13,10,2,3,1,6,9,12,1,2,2,1,1,2,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,2,3,"0"
2,1,2,0,10,4,1,1,6,9,12,1,2,2,3,3,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,"0"
2,1,2,21,9,99,3,0,4,9,12,1,2,3,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,"0"
2,2,2,18,9,6,2,0,4,9,12,3,2,3,1,2,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,"0"
2,3,1,16,5,8,1,1,1,0,6,1,2,2,1,4,4,1,2,3,2,3,1,1,3,1,1,2,1,1,2,1,2,2,2,2,2,2,"0"
2,1,2,0,7,6,3,0,2,6,8,2,2,2,1,1,2,1,1,1,1,1,1,1,4,3,1,2,1,1,4,1,1,1,2,2,2,1,"0"
2,1,2,16,5,6,2,0,1,6,8,1,2,2,1,2,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,2,2,1,"0"
2,1,2,0,8,10,2,1,4,9,12,1,2,2,2,3,4,2,1,2,2,2,2,2,3,2,2,1,1,1,2,2,2,2,1,2,1,2,"1"
2,1,2,13,8,3,4,0,3,8,9,2,2,2,2,2,2,1,1,2,2,1,2,2,4,2,2,2,2,1,1,1,1,1,2,2,2,2,"0"
2,1,2,0,9,15,2,1,4,9,12,3,2,2,1,1,1,1,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,1,1,2,"0"
2,3,1,13,7,10,2,1,2,6,8,2,2,1,3,4,3,2,2,2,2,2,2,2,4,1,1,1,2,1,1,2,2,2,1,2,1,3,"1"
2,4,2,16,9,99,2,1,4,9,9,2,2,2,1,3,3,4,2,2,3,2,1,2,2,2,2,2,1,1,3,2,3,3,1,1,1,2,"1"
2,2,2,18,7,8,2,0,2,7,8,2,2,2,1,2,2,2,2,1,2,2,1,2,4,1,1,1,1,2,3,2,2,2,2,2,2,2,"0"
2,1,2,16,27,8,1,1,7,8,12,1,2,2,1,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,3,"0"
2,2,2,18,7,3,3,0,3,6,8,2,2,2,1,2,3,1,3,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1,3,"0"
2,1,2,16,10,2,1,1,4,9,12,1,2,2,1,3,3,2,2,1,3,2,3,2,2,2,2,2,2,1,3,2,3,2,1,2,1,2,"1"
2,1,2,19,9,13,1,1,5,9,12,1,1,2,1,3,2,2,2,2,2,3,2,2,3,1,1,1,1,1,1,1,2,2,1,2,2,2,"0"
1,1,1,19,5,10,1,1,1,0,8,1,1,2,1,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"1"
2,1,2,0,8,5,2,1,6,10,12,1,2,1,1,1,3,1,2,2,2,2,2,2,4,1,2,2,2,1,3,2,2,2,1,2,1,2,"0"
